Soil evaporation,Soil eva avr,Soil eva var,Lakes,Lake entropy,land entropy,Precipitation,Precicpt avr,Precicpt var,Soil moisture,Soil moist avr,Soil moist var,NDVI,NDVI avr,NDVI var,Elevation,Elevation avr,Elevation var,soil entropy,Aspect,Aspect avr,Aspect var,Curvature,Curvature avr,Curvature var,Plan curvature,Plan curv avr,Plan curv var,Profile curvature,Profile curv avr,Profile curv var,Distance to river,Dist river avr,Dist river var,Slope,Slope avr,Slope var,dust_storm,Bare Soil,Cropland,Natural vegetation,Clay Loam,Loam,Loam Sand,Sand,Sand Clay Loam,Sand Loam
0.39434782,0.392633,1e-05,0.0,-0.0,-15.509775,208.83221,208.83221,0.0,0.13831897,0.135173,2e-05,0.1229,0.12575,9.2e-05,259.0,249.66667,1.111111,-43.01955,53.746162,153.57167,21615.969,9913623.0,-3855297.8,17214152000000.0,-6196014.5,2921944.0,11608190000000.0,3717608.8,-933354.0,2144169500000.0,21.347155,22.799896,4.220916,0.16343331,0.128874,0.005319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.44630435,0.446039,3e-06,0.0,-0.0,-8.0,165.97942,165.9794,0.0,,0.166256,0.0,0.1364,0.151144,8.4e-05,37.0,36.444443,1.358025,-25.570045,333.43494,152.10274,5764.1895,-2478405.8,-137689.2,9024159000000.0,1549003.6,337338.62,2602977200000.0,-929402.2,-75729.055,1892040000000.0,4.7733693,4.77337,0.0,0.058633666,0.038438,0.000132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2928261,0.294758,1e-06,0.0,-0.0,-15.509775,113.75614,113.75614,0.0,0.13430746,0.136039,1.3e-05,0.1348,0.128739,3e-05,789.0,785.55554,14.691358,-29.587593,15.642246,40.384,218.41814,1239202.9,-963824.44,38826634000000.0,-1775074.4,1367087.8,8631272600000.0,-535871.5,403263.2,12439060000000.0,212.66951,209.76602,1.214977,0.17023356,0.176156,0.003725,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.57173914,0.556932,0.000841,0.0,-0.0,-4.226567,528.0642,519.4778,36.863705,0.20414367,0.205557,4.1e-05,0.24605,0.353039,0.001468,1765.0,1392.1111,14022.543,-18.356874,25.187067,137.54001,17175.094,152421950.0,-130942430.0,1.4406337e+17,15846106.0,59012240.0,3.5224736e+16,168268060.0,-71930200.0,4.7856733e+16,19.681103,22.563858,4.801795,11.268715,10.53742,8.803983,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.8447826,0.804082,0.006288,0.0,-0.0,-0.528321,520.9672,520.9672,0.0,0.21360058,0.20493,2e-05,0.1734,0.209444,0.000175,1037.0,1077.2222,2768.8396,-17.062265,67.60703,110.5048,6559.2446,-268907040.0,-117586590.0,2.6328253e+16,214458500.0,97590500.0,1.4236895e+16,-54448536.0,-19996096.0,5446846400000000.0,9.546739,9.546739,0.0,1.1921376,3.323765,3.294659,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5028261,0.571981,0.001112,0.0,-0.0,-4.226567,720.5911,720.5911,0.0,0.23954885,0.228549,0.000161,0.2775,0.253722,0.00022,1051.0,1029.0,293.1111,-8.0,297.40756,291.86728,9645.41,-21066450.0,-10877448.0,2333390000000000.0,13122775.0,-335582.66,741829700000000.0,-7943674.0,-11213029.0,633918100000000.0,10.673577,8.058234,3.420009,0.47136587,0.682256,0.049748,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.26369566,0.258672,9.3e-05,0.0,-0.0,-8.616542,167.61208,167.61208,0.0,0.12927873,0.130218,1.1e-05,0.09245,0.124222,7.9e-05,16.0,16.555555,0.246914,-13.840936,71.56505,167.04832,2046.0583,1239202.9,-137689.2,4929163000000.0,-1239202.9,172111.52,1260728200000.0,-0.0,34422.305,1630415400000.0,6.750563,9.922352,0.28217,0.01688778,0.024004,4.5e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.19152173,0.191014,1e-06,0.0,-0.0,-15.509775,83.98907,81.25187,0.0,0.14325286,0.141118,9.9e-05,0.12815,0.124939,1e-06,411.0,412.0,0.666667,-43.01955,71.56505,85.81709,68.205986,3717608.8,-137689.2,834166000000.0,-2478405.8,-13768.917,406750700000.0,1239202.9,-151458.14,111000970000.0,290.3527,290.3527,0.0,0.07371402,0.063271,0.000133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5980435,0.603623,5.2e-05,0.0,-0.0,-1.723308,356.2072,356.2072,0.0,0.1476523,0.148267,3.2e-05,0.1174,0.107356,1.8e-05,161.0,163.66667,9.111111,-28.529325,202.61987,233.96916,227.25584,-11152826.0,-550756.75,11299158000000.0,4956811.5,991453.44,6834240400000.0,-6196014.5,440696.56,5359707600000.0,28.640213,28.640211,0.0,0.19228706,0.23295,0.004486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.41152173,0.415483,5e-06,0.0,-0.0,-15.509775,98.76963,98.76963,0.0,0.1538362,0.166777,7e-06,0.1045,0.110028,4e-06,573.0,565.6667,26.222221,-42.467793,30.963757,92.328094,19673.504,8674420.0,-275378.44,32001642000000.0,-3959404.5,-131877.67,13896031000000.0,4715016.0,-407256.0,8433155000000.0,206.08575,204.5389,4.785456,0.24003397,0.302873,0.003077,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.49108696,0.510749,0.000215,0.0,-0.0,-1.056642,311.9962,321.4919,45.08442,0.16366667,0.155607,2.3e-05,0.17805,0.161594,0.000217,189.0,186.66667,5.777778,-19.651484,289.9831,243.58727,157.30147,-6196014.5,-275378.4,3336664300000.0,2612373.8,137446.23,687989650000.0,-3583640.8,-137932.19,1213380200000.0,19.093477,13.501126,0.0,0.1533116,0.140408,0.000277,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5747826,0.587923,1.1e-05,0.0,-0.0,-0.0,311.42325,311.42328,0.0,0.16352011,0.167224,5e-06,0.10515,0.116294,8e-06,367.0,355.0,72.22222,-26.556473,12.449996,140.27766,21322.012,1239202.9,3166851.8,453217600000000.0,-4932466.0,-3414054.0,157000000000000.0,-3693263.0,-247201.5,92910740000000.0,9.546739,9.546739,0.0,0.5630172,0.463015,0.033678,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.22652175,0.22814,0.0,0.0,-0.0,-15.509775,62.611664,62.611668,0.0,0.1295546,0.137813,5.4e-05,0.1151,0.120489,1.8e-05,601.0,617.3333,54.88889,-43.01955,18.434948,110.473145,2035.5651,-7435217.5,1514581.5,222760240000000.0,1239202.9,-297026.12,64932440000000.0,-6196014.5,1217555.1,90583730000000.0,265.94135,269.30316,0.603654,0.08520806,0.333747,0.022274,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.31913042,0.322947,3e-06,0.0,-0.0,-15.509775,163.69823,162.7688,1.727692,0.12854597,0.132463,2.1e-05,0.1301,0.124339,6e-06,466.0,473.33334,1.777778,-38.605503,84.17366,46.948807,400.19836,-9913623.0,1376892.1,7317912000000.0,9913623.0,-1281550.5,2427172400000.0,-0.0,95341.57,1768830800000.0,109.891205,109.891205,0.0,0.29642707,0.146193,0.004946,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.5576087,0.576884,0.000778,0.0,-0.0,-0.0,523.0483,523.8187,0.0,0.2077385,0.19107,8.2e-05,0.2701,0.229544,0.000381,1338.0,1129.4445,8284.247,-11.883828,13.065221,137.17294,20547.445,-244122980.0,-177068340.0,3.8349797e+16,194153980.0,192120750.0,1.6254237e+16,-49968996.0,15052420.0,1.2228151e+16,14.3201065,14.320106,0.0,12.5544615,6.675344,17.547855,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
