FID,X_utm,Y_utm,Altitute,Slope,Slope_Aspect,Topography curverture,Distance from fault,Fault density,Distance from Lineanment,Lineanment density,Distance from river,River density,Distance from road,Spring density,Precipitation,Geology,Land-use,NDVI,Target
0,325390.6818,4076162.855,1,2,5,3,1,2,5,1,1,4,5,1,3,1,3,1,0
1,325475.3486,4077291.746,1,2,1,3,3,2,2,1,1,4,1,1,3,3,14,3,0
2,324417.0132,4076868.412,1,2,1,3,1,2,2,1,5,4,5,1,3,1,3,1,0
3,323556.2337,4076501.522,1,2,2,3,1,2,4,1,5,4,3,1,3,1,3,1,0
4,322808.3433,4077291.746,1,2,2,3,1,2,2,1,5,4,4,1,3,1,6,5,0
5,324007.7901,4077503.413,1,2,4,3,5,2,3,1,4,4,5,1,3,1,4,5,0
6,324275.9018,4079351.973,1,2,1,3,3,1,5,1,3,4,4,1,3,1,4,1,0
7,320649.339,4077122.413,1,2,2,3,1,4,3,1,5,3,3,1,3,1,3,4,0
8,323147.0106,4073735.739,1,2,2,3,1,5,2,1,3,3,5,1,3,1,4,1,0
9,323513.9002,4074836.408,1,2,4,3,1,4,1,1,1,3,1,1,3,1,4,1,0
10,320640.5195,4078921.583,1,2,2,3,1,4,4,1,1,4,5,1,3,1,3,5,0
11,319635.1008,4079186.167,1,2,3,3,1,4,2,1,1,4,3,1,3,1,15,5,0
12,319688.0176,4080438.53,1,2,3,3,1,4,2,1,4,4,5,1,3,1,3,4,0
13,322051.6334,4080844.226,1,2,5,3,1,1,2,1,5,4,1,1,3,1,15,5,0
14,321063.8537,4081355.754,1,2,1,3,1,2,2,1,5,4,1,1,3,1,15,1,0
15,318546.4264,4080975.459,1,2,2,3,1,5,2,1,3,4,5,1,3,1,3,5,0
16,316754.3117,4080368.68,1,2,2,3,1,5,2,1,1,3,1,1,3,1,3,2,0
17,315597.1983,4080058.235,1,2,2,3,1,5,2,1,1,3,1,1,3,1,3,1,0
18,314341.3069,4079225.678,1,2,4,3,1,3,3,1,1,3,5,1,3,1,3,5,0
19,317629.2024,4081793.905,1,2,3,3,1,5,2,1,5,4,1,1,3,1,3,1,0
20,316556.7558,4082584.129,1,2,9,3,1,5,2,1,1,4,5,1,3,1,3,4,0
21,315427.8646,4083459.02,1,2,4,3,1,5,2,1,1,3,1,1,3,1,3,1,0
22,314313.0846,4083473.131,1,2,2,3,1,5,2,1,3,3,4,1,3,1,3,5,0
23,316006.4213,4089823.144,1,2,8,3,1,2,2,2,5,4,5,1,2,1,15,2,0
24,316838.9786,4089286.92,1,2,5,3,1,2,2,2,3,4,5,1,2,1,7,2,0
25,317488.091,4088666.03,1,2,1,3,1,2,2,2,3,4,5,1,2,1,11,2,0
26,318221.8702,4088228.585,1,2,5,3,1,2,2,2,1,4,5,1,2,1,12,3,0
